compound_id,mean
198,-317.95210349999985
199,-480.34213300000016
200,-192.13374699999943
201,89.54046815000007
202,-3124.584354999993
203,-1755.9842900000008
204,-23.41294205169997
206,-187.03066674999968
208,-2260.200352500001
210,-528.3695677499996
214,-1358.9420474999993
215,86.40926935000019
216,-1015.3488985000035
218,-343.5447085000002
222,-581.2834439999992
224,-934.3455850000001
226,-789.8380567500005
228,-1094.7023149999993
229,-747.9235689999998
230,-800.4535780000004
231,-469.7345147500002
233,-493.39451075000005
239,-609.1955662499995
241,119.51238992500042
242,-40.126864699999985
244,-1397.4318974999994
245,-1440.8464025000044
246,-214.62982149999928
248,-2355.937990000004
250,-784.9480889999999
253,-1171.3002649999974
254,-835.5364662500007
255,-679.6034052500013
258,-1909.645057500001
260,-190.91523100000063
261,-1504.3723250000023
266,-1223.0511150000011
267,-788.0975277499991
269,-2178.937287500009
270,-2980.2533049999824
271,-512.9655022500018
272,-2636.6233374999993
273,-1542.765919999995
274,-726.4474627500009
277,-685.6131865
279,-69.14149060000013
280,-809.8305690000007
281,-1587.0435724999963
285,-206.94284849999912
287,-175.95572425000026
289,-458.89687024999955
293,-256.2887785000001
294,-330.35391699999855
297,-244.70932350000004
300,-768.9583902500012
307,-1966.691362499997
309,-619.5532667499999
313,-690.3073742500004
316,-411.2625125000003
318,-1751.5428799999981
319,-750.0239842499992
320,-502.69581199999936
321,-905.5353809999991
323,-1125.8374325000002
330,-289.943560250001
331,-46.31903404999993
333,37.179114125000076
334,-505.56241375000013
336,-1396.5777949999995
337,-359.61847050000046
339,-641.7439717499987
342,-463.55428149999796
343,-1577.1449500000003
346,-1347.2494025000012
350,-1603.9490275000019
351,4.683405040389739
352,-2570.5339699999977
354,-1768.8174475000014
357,213.87338800000032
359,-1366.8091200000006
364,-962.9363792500016
366,-237.48290149999985
367,-1149.1774925000007
369,-911.4352449999997
371,-621.8774857500009
372,-1791.7398774999992
373,-3174.8447449999976
375,-497.1074054999991
377,-155.47744099999997
379,-263.36754374999975
380,-716.4836802500005
383,-450.58506924999887
386,-1395.6436775000025
390,-2081.870217499997
396,-2598.66161
397,-665.8432187500016
398,-372.70476849999966
399,-551.4638424999998
402,-3042.4312200000045
404,317.4546097500002
408,-1750.624947499997
411,-856.0008842499985
414,-438.1826147500006
415,-2290.907682500003
416,102.00980092500025
417,-128.67342725000003
419,-927.1857555000005
420,-337.87540474999975
421,22.86219400887503
423,0.3666616580175007
425,-3367.8598050000023
427,-2427.7681350000075
428,-2210.5724525
430,-2785.0736100000013
435,-1468.050007500002
437,-350.08483600000005
438,-449.36735800000025
439,-753.7705267499991
443,-809.9687419999987
447,-945.1502722499964
453,-622.319282999999
456,-982.6576529999987
459,-2266.5471600000014
467,-663.5638472500008
470,-149.0311587499999
472,-2177.0521074999974
474,-206.42986525000018
482,-272.5531070000001
483,-1489.734457499998
484,-1756.815167499996
486,-786.9655974999984
487,-732.1365174999993
489,-487.1080109999999
493,-1896.9850324999966
494,-2581.8170975000053
497,-958.2931692500007
503,-683.0450317500001
514,-1458.6014525000044
516,-751.1883197499999
518,-1383.0374725000052
520,-228.98605874999993
522,-897.2155252499965
532,-2607.7231424999986
533,-32.94755320000002
534,-3228.7243650000037
536,-1647.284084999999
537,-1496.4567949999996
544,-538.1063002500007
545,-627.3864642499998
549,104.21973067500015
552,-1090.4152325000007
554,-620.1778357500008
557,-290.7007230000005
