group_name,charge,num_protons,num_mgs,full_name,dgg
-OPO3-,0,1,0,-OPO3- [H1 Z0 Mg0],4.1822959529050963e-13
-OPO2-,-1,0,0,-OPO2- [H0 Z-1 Mg0],-856.9169950556461
-OPO2-,0,1,0,-OPO2- [H1 Z0 Mg0],-9.013957199384917e-13
-OPO3,-2,0,0,-OPO3 [H0 Z-2 Mg0],-990.2566739962638
-OPO3,-1,1,0,-OPO3 [H1 Z-1 Mg0],-1041.71529361679
-OPO3,0,2,0,-OPO3 [H2 Z0 Mg0],5.924059762070384e-13
-OPO3-OPO2-,-2,0,0,-OPO3-OPO2- [H0 Z-2 Mg0],-1850.4606524893436
-OPO3-OPO2-,-1,1,0,-OPO3-OPO2- [H1 Z-1 Mg0],1.1783924029106167e-12
-OPO3-OPO2-,0,2,0,-OPO3-OPO2- [H2 Z0 Mg0],-9.710815554954405e-13
-OPO3-OPO2-,0,0,1,-OPO3-OPO2- [H0 Z0 Mg1],1.4839848507893973e-13
-OPO2-OPO2-,-2,0,0,-OPO2-OPO2- [H0 Z-2 Mg0],-1720.3284666355885
-OPO2-OPO2-,-1,1,0,-OPO2-OPO2- [H1 Z-1 Mg0],-9.047511134662267e-13
-OPO2-OPO2-,0,2,0,-OPO2-OPO2- [H2 Z0 Mg0],-2.3006485282322746e-13
-OPO2-OPO2-,0,0,1,-OPO2-OPO2- [H0 Z0 Mg1],-1.210977211607666e-12
ring -OPO3-,-1,0,0,ring -OPO3- [H0 Z-1 Mg0],-567.8521693881612
ring -OPO3-,0,1,0,ring -OPO3- [H1 Z0 Mg0],9.236891976799816e-13
ring -OPO3-OPO2-,-2,0,0,ring -OPO3-OPO2- [H0 Z-2 Mg0],-5.601834878722844e-13
ring -OPO3-OPO2-,-1,1,0,ring -OPO3-OPO2- [H1 Z-1 Mg0],-1.0043618253112865e-13
ring -OPO3-OPO2-,0,2,0,ring -OPO3-OPO2- [H2 Z0 Mg0],-5.101047402666838e-13
ring -OPO2-OPO2-,-2,0,0,ring -OPO2-OPO2- [H0 Z-2 Mg0],-4.906291989262687e-13
ring -OPO2-OPO2-,-1,1,0,ring -OPO2-OPO2- [H1 Z-1 Mg0],-2.226282653305034e-13
ring -OPO2-OPO2-,0,2,0,ring -OPO2-OPO2- [H2 Z0 Mg0],-7.740884533012885e-13
ring -OPO2-OPO2-,0,0,1,ring -OPO2-OPO2- [H0 Z0 Mg1],1.2733776705436075e-12
N-PO3,-2,0,0,N-PO3 [H0 Z-2 Mg0],-533.3801835267409
N-PO3,-1,1,0,N-PO3 [H1 Z-1 Mg0],-7.856398869597677e-13
N-PO3,0,2,0,N-PO3 [H2 Z0 Mg0],-5.318467131759346e-13
C-PO3,-2,0,0,C-PO3 [H0 Z-2 Mg0],-9.210218462021015e-13
C-PO3,-1,1,0,C-PO3 [H1 Z-1 Mg0],-815.8739804933585
C-PO3,0,2,0,C-PO3 [H2 Z0 Mg0],-2.1405943959168368e-13
-NO2,0,0,0,-NO2 [H0 Z0 Mg0],-3.4947735510901787e-13
NC(=N)N,0,0,0,NC(=N)N [H0 Z0 Mg0],23.982887544407212
ring nc(=n)n,0,0,0,ring nc(=n)n [H0 Z0 Mg0],-282.3487947637093
two fused rings =n<,0,0,0,two fused rings =n< [H0 Z0 Mg0],1.3300220590208268e-13
ring =n<,1,0,0,ring =n< [H0 Z1 Mg0],52.90035774176035
ring =n<,0,0,0,ring =n< [H0 Z0 Mg0],98.14043837802454
ring -n=,1,1,0,ring -n= [H1 Z1 Mg0],67.67672067737378
ring -n=,0,0,0,ring -n= [H0 Z0 Mg0],60.11580646744768
ring -n=,-1,0,0,ring -n= [H0 Z-1 Mg0],132.33467839622847
two fused rings -N<,1,1,0,two fused rings -N< [H1 Z1 Mg0],-1.5957137982199822e-13
two fused rings -N<,0,0,0,two fused rings -N< [H0 Z0 Mg0],232.7421248999775
two fused rings =N<,1,0,0,two fused rings =N< [H0 Z1 Mg0],-4.1246999568534956e-14
ring =N<,1,0,0,ring =N< [H0 Z1 Mg0],59.249910752758026
-N-,1,2,0,-N- [H2 Z1 Mg0],5.196430957170817
-N-,0,1,0,-N- [H1 Z0 Mg0],35.83695331504164
