,description,standard_dg_prime(kilojoule / mole),decompose,standard_dg(kilojoule / mole),is_formation
32,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-12.967447119868245,,16.78386412015228,False
33,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-14.40220183523157,,16.72629531192016,False
34,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-12.12274174172184,,17.771364159113986,False
35,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-16.189458699548663,,15.52839860840378,False
36,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.164578215371465,,16.837491097817875,False
37,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.610297897494172,,18.192615785841703,False
38,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.610297897494172,,18.192615785841703,False
39,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-14.317940585755073,,17.749079603362766,False
40,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-15.849573124500541,,18.258352657343647,False
41,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.517840676606694,,17.344401861908622,False
42,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.137343609578252,,17.006568200360945,False
43,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-14.799987436290259,,16.27339528290232,False
44,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-14.393901410918271,,17.67311877819957,False
45,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-14.008338488835987,,16.33242661658619,False
46,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-14.360423489661843,,17.706596699456,False
47,ATP(aq) + D-glucose 1-phosphate(aq) = ADPglucose(aq) + pyrophosphate(aq),-0.24564735833304752,,-4.4089463907009145,False
48,succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),11.409891689814021,,6.555242986604771,False
49,2 dADP(aq) = dAMP(aq) + dATP(aq),0.46939709463492285,,44.634063165962395,False
50,2 dADP(aq) = dAMP(aq) + dATP(aq),3.298441730370074,,44.90692795709832,False
51,2 dADP(aq) = dAMP(aq) + dATP(aq),2.983133681974202,,45.3129095608649,False
52,2 dADP(aq) = dAMP(aq) + dATP(aq),1.447205559424497,,44.706974303139354,False
53,D-arabino-3-hexulose 6-phosphate(aq) = D-ribulose 5-phosphate(aq) + formaldehyde(aq),25.51077110098883,,25.510697647226973,False
54,L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),27.691076694568064,,86.0886654040701,False
55,(S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),14.94575299113147,,69.52680136208345,False
56,2 reduced glutathione(aq) + NAD(aq) =  oxidized glutathione(aq) + NADH(aq),17.975889230246157,,64.74872677538475,False
57,UDP-D-glucuronate(aq) = UDP-D-galacturonate(aq),-0.24564735833304752,,-0.24564735833282014,False
58,acetyl-CoA(aq) + orthophosphate(aq) = CoA(aq) + acetyl phosphate(aq),10.19677140377144,,10.16533154963685,False
59,vitamin A alcohol(aq) + NAD(aq) = vitamin A aldehyde(aq) + NADH(aq),8.791967365371965,,53.595479358767626,False
60,vitamin A alcohol(aq) + NAD(aq) = vitamin A aldehyde(aq) + NADH(aq),2.8574077349915883,,53.75659825591364,False
61,vitamin A alcohol(aq) + NAD(aq) = vitamin A aldehyde(aq) + NADH(aq),-3.077151895388789,,53.777660055803445,False
62,AMP(aq) + H2O(l) = adenosine(aq) + orthophosphate(aq),-12.987091310807667,,-12.969474190697955,False
63,(S)-lactate(aq) + AP-NAD(aq)= pyruvate(aq) + AP-NADH(aq),3.298441730370074,,58.80952559959108,False
64,pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq),-15.911986006640289,,22.700122113859152,False
65,pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq),-15.911986006640289,,22.700122113859152,False
66,pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq),-17.58316656702485,,22.169211699205984,False
67,pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq),-15.38342753925182,,23.228680581247623,False
68,pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq),-17.780377759554522,,21.972000506676313,False
69,pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq),-15.85772407613119,,22.75438404436825,False
70,pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq),-15.363576248559353,,23.248531871940088,False
71,2 reduced glutathione(aq) + NADP(aq) =  oxidized glutathione(aq) + NADPH(aq),11.871299953723037,,55.64349933417911,False
72,2 reduced glutathione(aq) + NADP(aq) =  oxidized glutathione(aq) + NADPH(aq),13.335012169285235,,62.538462028481334,False
73,2 reduced glutathione(aq) + NADP(aq) =  oxidized glutathione(aq) + NADPH(aq),12.500187466722668,,59.07211006870479,False
74,formyl-CoA(aq) + orthophosphate(aq) =  CoA(aq) + formyl phosphate(aq),4.952985304122316,,4.529148680334743,False
75,"ATP(aq) + D-fructose 6-phosphate(aq) = ADP(aq) + D-fructose 1,6-bisphosphate(aq)",-12.622674682957875,,32.15551014649391,False
76,"ATP(aq) + D-fructose 6-phosphate(aq) = ADP(aq) + D-fructose 1,6-bisphosphate(aq)",-20.08404903449175,,31.662672285563282,False
77,L-ribulose 5-phosphate(aq) = D-xylulose 5-phosphate(aq),-0.0,,5.684341886080802e-14,False
78,shikimate(aq) + NADP(aq) = 3-dehydroshikimate(aq) + NADPH(aq),8.367350058083485,,55.541652546276495,False
79,shikimate(aq) + NADP(aq) = 3-dehydroshikimate(aq) + NADPH(aq),4.390847313525014,,56.85595766782741,False
80,D-sorbitol(aq) + NAD(aq) = D-fructose(aq) + NADH(aq),8.528038419943007,,51.39902996627557,False
81,"7,8-dihydrobiopterin(aq) + NADP(aq) = sepiapterin(aq) + NADPH(aq)",7.795988456275599,,57.89724002722368,False
82,"7,8-dihydrobiopterin(aq) + NADP(aq) = sepiapterin(aq) + NADPH(aq)",5.054905190609347,,54.868110863674914,False
83,"7,8-dihydrobiopterin(aq) + NADP(aq) = sepiapterin(aq) + NADPH(aq)",9.57164806317288,,60.535654460549914,False
84,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),13.45724445055324,,53.481135356242156,False
85,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),6.383928722501115,,52.160723007939374,False
86,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),8.232516922523018,,51.09048292317311,False
87,AMP(aq) + H2O(l) = adenosine(aq) + orthophosphate(aq),-13.369095549916363,,-12.87377897986573,False
88,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),22.204910847940344,,64.24832528911915,False
89,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),11.099690296221922,,64.73721351619764,False
90,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),5.865939710515022,,65.1211877797241,False
91,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),17.662152895982306,,65.65389559804211,False
92,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",18.26612647821611,,13.058248694497593,False
93,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",13.145288592920464,,6.128630539333711,False
94,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",10.972348038106709,,2.789179452914887,False
95,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",16.595637413647236,,10.456341378123906,False
96,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",17.528635839050406,,11.389339803527076,False
97,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",18.66711307740831,,12.52781704188498,False
98,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",18.284196971250573,,12.144900935727243,False
99,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",19.385267309550628,,13.245971274027298,False
100,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",19.385267309550628,,13.245971274027298,False
101,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",19.843376931487498,,13.704080895964168,False
102,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",18.619205212185513,,10.43603662699369,False
103,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",19.249894901043895,,13.110598865520565,False
104,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",18.46813914548818,,12.32884310996485,False
105,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",16.595637413647236,,10.456341378123906,False
106,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",16.00814819434395,,9.86885215882062,False
107,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",16.172128611233756,,9.155470557647003,False
108,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",15.591447391522243,,8.57478933793549,False
109,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",14.35451931678179,,6.171350731589968,False
110,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",13.298712198668545,,5.1155436134767225,False
111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",17.100295435984336,,10.083637382397583,False
112,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",20.14258474454106,,14.934706960822545,False
113,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",20.14258474454106,,14.934706960822545,False
114,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",11.626784815041248,,3.4436162298494253,False
115,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",13.49277419795953,,6.476116144372778,False
116,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",15.840076281447065,,9.700780245923735,False
117,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",19.385267309550628,,13.245971274027298,False
118,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",14.899107143710077,,6.715938558518255,False
119,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",17.915009825845505,,11.775713790322175,False
120,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",19.68091164131858,,13.54161560579525,False
121,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",21.68374587110602,,16.475868087387504,False
122,D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),2.8792344213006986,,6.895318500856566,False
123,D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),2.3033214495447494,,6.294028394786049,False
124,2 ADP(aq) = AMP(aq) + ATP(aq),3.0330199952969967,,46.74655413605515,False
125,glycerol(aq) + NADP(aq) = (R)-glyceraldehyde(aq) + NADPH(aq),34.28563360358904,,82.6577973909227,False
126,allantoate(aq) + H2O(l) = (-)-ureidoglycolate(aq) + urea(aq),3.9315471322062683,,-1.1275837903898287,False
127,xylitol(aq) + NAD(aq) = D-xylulose(aq) + NADH(aq),19.20588014608962,,62.076870114345645,False
128,3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq),22.819783379628042,,71.66150279843444,False
129,2'-deoxyinosine(aq) + adenine(aq) = 2'-deoxyadenosine(aq) + hypoxanthine(aq),-0.8755937942618217,,-0.8530591534882361,False
130,D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),1.0321694545976174,,1.0871624550035608,False
131,inosine(aq) + orthophosphate(aq) = hypoxanthine(aq) + D-ribose 1-phosphate(aq),10.628273671777213,,11.42426144536825,False
132,(S)-malate(aq) + acetyl-CoA(aq) + NAD(aq) + H2O(l) = citrate(aq) + CoA(aq) + NADH(aq),1.8002036268270944,,78.82641307617887,False
133,(S)-malate(aq) + acetyl-CoA(aq) + NAD(aq) + H2O(l) = citrate(aq) + CoA(aq) + NADH(aq),-15.685635738282166,,84.88633281520285,False
134,(S)-malate(aq) + acetyl-CoA(aq) + NAD(aq) + H2O(l) = citrate(aq) + CoA(aq) + NADH(aq),-21.172426709491013,,85.06284843895284,False
135,(S)-malate(aq) + acetyl-CoA(aq) + NAD(aq) + H2O(l) = citrate(aq) + CoA(aq) + NADH(aq),-5.836304474769608,,83.24423448356421,False
136,(S)-malate(aq) + acetyl-CoA(aq) + NAD(aq) + H2O(l) = citrate(aq) + CoA(aq) + NADH(aq),-11.319489938734748,,82.40883609875887,False
137,(R)-methylmalonyl-CoA(aq) = succinyl-CoA(aq),-7.779332498751111,,-7.779332498735649,False
138,"D-fructose 1,6-bisphosphate(aq) + H2O(l) = D-fructose 6-phosphate(aq) + orthophosphate(aq)",-13.296673118737017,,-20.30641107770959,False
139,(S)-3-hydroxyhexanoyl-CoA(aq) + NAD(aq) = 3-oxohexanoyl-CoA(aq) + NADH(aq),20.54955718063224,,63.41942382513634,False
140,(S)-3-hydroxyhexanoyl-CoA(aq) + NAD(aq) = 3-oxohexanoyl-CoA(aq) + NADH(aq),9.13966549081822,,63.72070951746916,False
141,(S)-3-hydroxyhexanoyl-CoA(aq) + NAD(aq) = 3-oxohexanoyl-CoA(aq) + NADH(aq),14.844611335725231,,63.69130819886533,False
142,(S)-3-hydroxyhexanoyl-CoA(aq) + NAD(aq) = 3-oxohexanoyl-CoA(aq) + NADH(aq),3.4347196459112097,,63.73507360267539,False
143,(S)-3-hydroxybutanoyl-CoA(aq) + NAD(aq) = 3-oxobutanoyl-CoA(aq) + NADH(aq),18.259588833357146,,61.12880911578212,False
144,(S)-3-hydroxybutanoyl-CoA(aq) + NAD(aq) = 3-oxobutanoyl-CoA(aq) + NADH(aq),12.554642988450135,,61.40127500369258,False
145,(S)-3-hydroxybutanoyl-CoA(aq) + NAD(aq) = 3-oxobutanoyl-CoA(aq) + NADH(aq),6.849697143543123,,61.43073468329132,False
146,(S)-3-hydroxybutanoyl-CoA(aq) + NAD(aq) = 3-oxobutanoyl-CoA(aq) + NADH(aq),1.1447512986361128,,61.44510460668456,False
147,ATP(aq) + 3-phospho-D-glycerate(aq) = ADP(aq) + 3-phospho-D-glyceroyl phosphate(aq),20.016591526041736,,20.39912920063665,False
148,orotidine 5 '-phosphate(aq) + pyrophosphate(aq) = orotate(aq) + 5-phospho--D-ribose 1-diphosphate(aq),-5.617799871542679,,-59.16711407004477,False
149,L-rhamnose(aq) = L-rhamnulose(aq),0.7414563825463438,,0.7226484823885904,False
150,D-glyceraldehyde 3-phosphate(aq) = glycerone phosphate(aq),-7.992374011301876,,-8.025783961118151,False
151,ATP(aq) + ammonium carbamate(aq) = ADP(aq) + carbamoyl phosphate(aq),7.459137062611175,,17.000434502327323,False
152,ATP(aq) + pyruvate(aq) + orthophosphate(aq) = AMP(aq) + phosphoenolpyruvate(aq) + pyrophosphate(aq),13.177306275791256,,100.3846766157301,False
153,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",17.890821401780197,,11.585044119428044,False
154,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",13.157515443135065,,1.6205488824264584,False
155,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",15.631144350456381,,7.029940112850895,False
156,succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),11.409891689814021,,6.555242986604771,False
157,D-xylose(aq) = D-xylulose(aq),4.188202457736317,,4.1882046823730334,False
158,4-hydroxybutanoate(aq) + NAD(aq) = 4-oxobutanoate(aq) + NADH(aq),-3.3719915739274215,,40.376759910799684,False
159,4-hydroxybutanoate(aq) + NAD(aq) = 4-oxobutanoate(aq) + NADH(aq),-7.975172043902811,,40.87145388743854,False
160,ATP(aq) + L-glutamate(aq) + ammonia(aq) = ADP(aq) + phosphate(aq) + L-glutamine(aq),-19.047665822548,,21.181110493144526,False
161,D-mannose 6-phosphate(aq) = D-fructose 6-phosphate(aq),-1.514929903532149,,-1.9971372565652104,False
162,1--D-galactosyl-myo-inositol(aq) + raffinose(aq) = myo-inositol(aq) + stachyose(aq),-3.4347196459112097,,-3.4347224369303517,False
163,ATP(aq) = adenosine 3':5'-(cyclic)phosphate(aq) + diphosphate(aq),6.772265013564952,,46.66315320459642,False
164,UTP(aq) + N-acetyl--D-glucosamine 1-phosphate(aq) = UDP-N-acetyl-D-glucosamine(aq) + pyrophosphate(aq),1.7864804598010426,,-5.34804591213747,False
165,ATP(aq) + 3-phospho-D-glycerate(aq) = ADP(aq) + 3-phospho-D-glyceroyl phosphate(aq),20.097832459998283,,20.197342969900642,False
166,sucrose(aq) + orthophosphate(aq) =-D-glucose 1-phosphate(aq) + D-fructose(aq),-6.040721420694744,,-8.357657030250998,False
167,sucrose(aq) + orthophosphate(aq) =-D-glucose 1-phosphate(aq) + D-fructose(aq),-7.546778343828785,,-8.287462821461567,False
168,ATP(aq) + ammonium carbamate(aq) = ADP(aq) + carbamoyl phosphate(aq),8.948984775831759,,14.218233476210271,False
169,(S)-malate(aq) + NADP(aq) + H2O(l) = pyruvate(aq) + NADPH(aq) + carbon dioxide(aq),7.344802682039517,,54.19623582245303,False
170,ATP(aq) + propanoyl-CoA(aq) + carbon dioxide(aq) = ADP(aq) + phosphate(aq) + methylmalonyl-CoA(aq),-4.355614938877241,,47.249470638269145,False
171,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),2.2645937969056162,,44.0926178604343,False
172,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),6.394444418652356,,46.80859258268764,False
173,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),7.92672782331024,,48.152688070560735,False
174,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),7.92672782331024,,48.00138830917725,False
175,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),2.3082980789051724,,47.08413590850255,False
176,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),4.105352352723716,,48.88119018232109,False
177,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),5.90345606479947,,50.67929389439685,False
178,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),6.270015350155837,,51.045853179753216,False
179,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),6.663411793297373,,51.43924962289475,False
180,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),7.546778343828785,,52.32261617342616,False
181,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),7.546778343828785,,52.32261617342616,False
182,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),3.289128682794891,,48.06496651239227,False
183,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),7.129818260005386,,51.905656089602765,False
184,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),7.399988679802207,,52.175826509399585,False
185,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),5.026010025806296,,45.587438841227616,False
186,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),7.546778343828785,,52.32261617342616,False
187,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),4.237276551191279,,45.000012112554906,False
188,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),3.17109161668163,,47.94692944627901,False
189,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),7.08747816251004,,51.86331599210742,False
190,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),7.352899897583118,,47.66195670244943,False
191,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),8.172696361331623,,52.948534190929,False
192,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),8.172696361331623,,52.948534190929,False
193,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),7.92672782331024,,48.09823864768199,False
194,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),2.4441530908199147,,47.219990920417295,False
195,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),5.677707220514139,,50.453545050111515,False
196,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),4.712882138948486,,49.488719968545865,False
197,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),6.038203502943898,,50.81404133254128,False
198,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),3.0330199952969967,,44.14942937264087,False
199,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),3.9435718638679127,,48.719409693465295,False
200,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),7.92672782331024,,48.047809664005364,False
201,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),8.172696361331623,,52.948534190929,False
202,L-ribulose 5-phosphate(aq) = D-xylulose 5-phosphate(aq),-0.46990582627745,,-0.46990582627745,False
203,L-alanine(aq) + 2-oxoglutarate(aq) = pyruvate(aq) + L-glutamate(aq),1.273972894992197,,-0.3932005139046182,False
204,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",19.0705580805348,,14.259218629516514,False
205,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",15.840076281447065,,9.700780245923735,False
206,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",12.022956137790626,,3.8397875525988034,False
207,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",10.883648600797486,,1.8447629066378823,False
208,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",18.412620950691032,,13.204743166972516,False
209,ITP(aq) + oxaloacetate(aq) + H2O(l) = IDP(aq) + phosphoenolpyruvate(aq) + carbon dioxide(aq),-1.3146986164802863,,43.29654832543898,False
210,ITP(aq) + oxaloacetate(aq) + H2O(l) = IDP(aq) + phosphoenolpyruvate(aq) + carbon dioxide(aq),1.7173598229556049,,42.40340892516253,False
211,ITP(aq) + oxaloacetate(aq) + H2O(l) = IDP(aq) + phosphoenolpyruvate(aq) + carbon dioxide(aq),0.8485630654397192,,41.38442522447302,False
212,diphosphate(aq) + oxaloacetate(aq) + H2O(l) = phosphate(aq) + phosphoenolpyruvate(aq) + carbon dioxide(aq),10.759851035516357,,49.513672325147134,False
213,D-mannose(aq) = D-fructose(aq),-2.5941383659661104,,-2.5941927732583925,False
214,D-mannose(aq) = D-fructose(aq),-2.7219509196297578,,-2.722156678961137,False
215,D-mannose(aq) = D-fructose(aq),-2.8588929414122384,,-2.8596454555542885,False
216,D-mannose(aq) = D-fructose(aq),-2.7264329990510414,,-2.7269281199692155,False
217,D-mannose(aq) = D-fructose(aq),-2.5775450164705203,,-2.577564417565878,False
218,D-mannose(aq) = D-fructose(aq),-2.6245547742029753,,-2.624587557852122,False
219,ATP(aq) + L-arginine(aq) = ADP(aq) + N-w-phospho-L-arginine(aq),-7.091464750914194,,29.44105484238897,False
220,guanosine(aq) + orthophosphate(aq) = guanine(aq) + D-ribose 1-phosphate(aq),10.214839393722935,,9.980641617564368,False
221,D-sorbitol(aq) + NAD(aq) = D-fructose(aq) + NADH(aq),12.759522174958457,,55.63051372129102,False
222,(R)-3-hydroxybutanoate(aq) + NAD(aq) = 3-oxobutanoate(aq) + NADH(aq),5.1735848362047365,,55.21710792183872,False
223,"2,2'-iminodipropanoate(aq) + NAD(aq) + H2O(l) = L-alanine(aq) + pyruvate(aq) + NADH(aq)",34.22967506944207,,77.108550728573,False
