,description,standard_dg_prime(kilojoule / mole),decompose,standard_dg(kilojoule / mole),is_formation
0,"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate(aq) + NAD(ox) = 2-oxoadipate(aq) + carbon dioxide(aq) + NAD(red)",1.9784038286031003,,44.679050252463306,False
1,"5,10-methenyltetrahydrofolate(aq) + H2O(l) = 10-formyltetrahydrofolate(aq)",-3.5556034495967457,,36.38597736575177,False
2,isocitrate(aq) = citrate(aq),-7.4494895339125256,,-5.94822950608983,False
3,isocitrate(aq) = citrate(aq),-8.296158341158668,,-6.338066361033436,False
4,isocitrate(aq) = citrate(aq),-9.011711525769167,,-5.1393777263018965,False
5,isocitrate(aq) = citrate(aq),-6.180206988713425,,-6.180296002566339,False
6,isocitrate(aq) = citrate(aq),-8.296158341158668,,-8.296247355011582,False
7,isocitrate(aq) = citrate(aq),-8.397243708931782,,-8.397332722784697,False
8,isocitrate(aq) = citrate(aq),-8.766064167436118,,-8.766153181289033,False
9,isocitrate(aq) = citrate(aq),-9.163363882561523,,-6.808805507451407,False
10,isocitrate(aq) = citrate(aq),-6.801765171783232,,-5.813527002299012,False
11,isocitrate(aq) = citrate(aq),-6.979583707635076,,-6.97967272148799,False
12,isocitrate(aq) = citrate(aq),-7.5888394974181965,,-7.588928511271111,False
13,isocitrate(aq) = citrate(aq),-8.588245631584275,,-0.16872798940059752,False
14,isocitrate(aq) = citrate(aq),-5.193103247834033,,-5.1931922616869475,False
15,isocitrate(aq) = citrate(aq),-7.302172496056583,,-7.302261509909497,False
16,isocitrate(aq) = citrate(aq),-9.163363882561523,,-6.174050052542949,False
17,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.384903642061563,,16.762809114778275,False
18,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-15.275745198773418,,16.442112109179025,False
19,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-14.368834771265746,,16.535106940494153,False
20,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.699481600175554,,18.10343208316032,False
21,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-14.167892737175748,,18.068873779491753,False
22,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-12.688972627614259,,17.726531265095833,False
23,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.409601648710968,,17.45264088980435,False
24,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-18.08210078499216,,17.935180047106844,False
25,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-12.43081077220541,,17.980404485246247,False
26,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-11.279201685618359,,17.743382160388208,False
27,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.85864040443633,,16.63477871028502,False
28,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.257645450669749,,16.640831464070196,False
29,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.610297897494172,,16.466818110281885,False
30,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-13.899437676630823,,18.068963071699457,False
31,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),-14.248441654009817,,18.030177312629455,False
