,id,sbo,bigg.reaction,ec-code,metanetx.reaction,rhea,formula,biocyc,kegg.reaction,sabiork,seed.reaction,reactome.reaction
15,ADK1,SBO:0000176,ADK1,2.7.4.3,MNXR95450,"['12975', '12973', '12976', '12974']",amp_c + atp_c <=> 2.0 adp_c,META:ADENYL-KIN-RXN,R00127,82,rxn00097,"['R-ATH-110145', 'R-SSC-110144', 'R-ATH-110144', 'R-SSC-110145', 'R-GGA-110145', 'R-PFA-110144', 'R-HSA-110145', 'R-RNO-110144', 'R-OSA-110145', 'R-SCE-110145', 'R-RNO-110145', 'R-XTR-110144', 'R-SCE-110144', 'R-PFA-110145', 'R-OSA-110144', 'R-HSA-110144', 'R-BTA-110144', 'R-DRE-110145', 'R-DRE-110144', 'R-SPO-110145', 'R-CEL-110144', 'R-CFA-110144', 'R-XTR-110145', 'R-MMU-110144', 'R-DME-110144', 'R-SPO-110144', 'R-DDI-110145', 'R-GGA-110144', 'R-TGU-110144', 'R-BTA-110145', 'R-CEL-110145', 'R-CFA-110145', 'R-DME-110145', 'R-TGU-110145', 'R-DDI-110144', 'R-MMU-110145']"
16,AKGDH,SBO:0000176,AKGDH,"['1.2.1.52', '2.3.1.61', '1.8.1.4', '1.2.4.2']",MNXR95655,"['27789', '27788', '27786', '27787']",akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,META:2OXOGLUTARATEDEH-RXN,R08549,8163,rxn08094,"['R-PFA-71401', 'R-XTR-71401', 'R-SCE-71401', 'R-SSC-71401', 'R-TGU-71401', 'R-ATH-71401', 'R-OSA-71401', 'R-SPO-71401', 'R-CEL-71401', 'R-RNO-71401', 'R-DRE-71401', 'R-GGA-373042', 'R-DDI-71401', 'R-CFA-71401', 'R-HSA-71401', 'R-BTA-71401', 'R-DME-71401', 'R-MMU-71401', 'R-GGA-71401']"
17,ATPS4r,SBO:0000185,ATPS4r,3.6.3.14,MNXR96136,,adp_c + 4.0 h_e + pi_c <=> atp_c + h2o_c + 3.0 h_c,META:ATPSYN-RXN,,,"['rxn08173', 'rxn10042']",
18,PTAr,SBO:0000176,PTAr,2.3.1.8,MNXR103319,"['19521', '19523', '19522', '19524']",accoa_c + pi_c <=> actp_c + coa_c,META:PHOSACETYLTRANS-RXN,R00230,72,rxn00173,
19,PYK,SBO:0000176,PYK,2.7.1.40,MNXR103371,"['18160', '18159', '18158', '18157']",adp_c + h_c + pep_c --> atp_c + pyr_c,META:PEPDEPHOS-RXN,R00200,9,rxn00148,"['R-SSC-71670', 'R-GGA-353056', 'R-DRE-71670', 'R-OSA-71670', 'R-SPO-71670', 'R-DDI-71670', 'R-SCE-71670', 'R-CEL-71670', 'R-PFA-71670', 'R-HSA-71670', 'R-TGU-71670', 'R-DME-71670', 'R-ATH-71670', 'R-BTA-71670', 'R-MMU-71670', 'R-RNO-71670', 'R-GGA-71670', 'R-CFA-71670', 'R-XTR-71670']"
20,BIOMASS_Ecoli_core_w_GAM,SBO:0000629,BIOMASS_Ecoli_core_w_GAM,,MNXR96280,,1.496 3pg_c + 3.7478 accoa_c + 59.81 atp_c + 0.361 e4p_c + 0.0709 f6p_c + 0.129 g3p_c + 0.205 g6p_c + 0.2557 gln__L_c + 4.9414 glu__L_c + 59.81 h2o_c + 3.547 nad_c + 13.0279 nadph_c + 1.7867 oaa_c + 0.5191 pep_c + 2.8328 pyr_c + 0.8977 r5p_c --> 59.81 adp_c + 4.1182 akg_c + 3.7478 coa_c + 59.81 h_c + 3.547 nadh_c + 13.0279 nadp_c + 59.81 pi_c,,,,,
21,RPE,SBO:0000176,RPE,5.1.3.1,MNXR104083,"['13677', '13680', '13678', '13679']",ru5p__D_c <=> xu5p__D_c,META:RIBULP3EPIM-RXN,R01529,62,rxn01116,"['R-SPO-71303', 'R-CFA-199803', 'R-ATH-71303', 'R-SCE-71303', 'R-CFA-71303', 'R-DME-199803', 'R-XTR-199803', 'R-SSC-199803', 'R-GGA-199803', 'R-TGU-71303', 'R-OSA-199803', 'R-SSC-71303', 'R-MMU-71303', 'R-OSA-71303', 'R-HSA-71303', 'R-MMU-199803', 'R-XTR-71303', 'R-SPO-199803', 'R-SCE-199803', 'R-DDI-71303', 'R-RNO-71303', 'R-DME-71303', 'R-HSA-199803', 'R-DRE-71303', 'R-PFA-199803', 'R-CEL-199803', 'R-RNO-199803', 'R-PFA-71303', 'R-CEL-71303', 'R-TGU-199803', 'R-GGA-71303', 'R-DDI-199803', 'R-BTA-71303', 'R-ATH-199803', 'R-DRE-199803', 'R-BTA-199803']"
22,CS,SBO:0000176,CS,"['2.3.3.16', '2.3.3.1', '2.3.3.3']",MNXR96920,"['16847', '16846', '16845', '16848']",accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,"['META:CITSYN-RXN', 'META:RXN-14905']",R00351,267,rxn00256,"['R-GGA-373006', 'R-GGA-70975', 'R-CEL-70975', 'R-HSA-70975', 'R-DRE-70975', 'R-MMU-70975', 'R-ATH-70975', 'R-SPO-70975', 'R-OSA-70975', 'R-SCE-70975', 'R-SSC-70975', 'R-DDI-70975', 'R-RNO-70975', 'R-DME-70975', 'R-PFA-70975', 'R-XTR-70975', 'R-CFA-70975', 'R-BTA-70975']"
23,RPI,SBO:0000176,RPI,5.3.1.6,MNXR104084,,r5p_c <=> ru5p__D_c,,,,,
24,CYTBD,SBO:0000185,CYTBD,,MNXR97031,,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,,,,"['rxn12494', 'rxn10112', 'rxn08288']",
25,ENO,SBO:0000176,ENO,4.2.1.11,MNXR97932,"['10166', '10165', '10164', '10167']",2pg_c <=> h2o_c + pep_c,META:2PGADEHYDRAT-RXN,R00658,8,rxn00459,"['R-BTA-71660', 'R-RNO-70494', 'R-TGU-71660', 'R-SSC-71660', 'R-GGA-352981', 'R-DME-70494', 'R-CFA-70494', 'R-OSA-70494', 'R-SCE-71660', 'R-GGA-353044', 'R-CFA-71660', 'R-GGA-70494', 'R-PFA-71660', 'R-SPO-71660', 'R-SPO-70494', 'R-DDI-70494', 'R-RNO-71660', 'R-MMU-70494', 'R-ATH-70494', 'R-SCE-70494', 'R-SSC-70494', 'R-HSA-70494', 'R-DME-71660', 'R-CEL-71660', 'R-HSA-71660', 'R-TGU-70494', 'R-XTR-71660', 'R-DRE-70494', 'R-DRE-71660', 'R-MMU-71660', 'R-ATH-71660', 'R-BTA-70494', 'R-CEL-70494', 'R-XTR-70494', 'R-DDI-71660', 'R-OSA-71660', 'R-PFA-70494', 'R-GGA-71660']"
26,SUCDi,SBO:0000176,SUCDi,,MNXR99641,"['29190', '29189', '29187', '29188']",q8_c + succ_c --> fum_c + q8h2_c,,,,rxn09272,
27,SUCOAS,SBO:0000176,SUCOAS,6.2.1.5,MNXR104635,"['17664', '17663', '17662', '17661']",atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c,META:SUCCCOASYN-RXN,R00405,260,rxn00285,"['R-BTA-70997', 'R-GGA-372977', 'R-PFA-70997', 'R-GGA-373134', 'R-TGU-70997', 'R-XTR-70997', 'R-SSC-70997', 'R-HSA-70997', 'R-DRE-70997', 'R-SCE-70997', 'R-SPO-70997', 'R-DDI-70997', 'R-CFA-70997', 'R-OSA-70997', 'R-GGA-70997', 'R-RNO-70997', 'R-ATH-70997', 'R-MMU-70997']"
28,TALA,SBO:0000176,TALA,2.2.1.2,MNXR104715,"['17056', '17055', '17054', '17053']",g3p_c + s7p_c <=> e4p_c + f6p_c,META:TRANSALDOL-RXN,R01827,,,
29,THD2,SBO:0000185,THD2,1.6.1.1,MNXR104805,,2.0 h_e + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,,,,"['rxn10125', 'rxn09295']",
30,TKT1,SBO:0000176,TKT1,2.2.1.1,MNXR104868,,r5p_c + xu5p__D_c <=> g3p_c + s7p_c,,,,,
31,TKT2,SBO:0000176,TKT2,2.2.1.1,MNXR104869,"['27627', '27628', '27626', '27629']",e4p_c + xu5p__D_c <=> f6p_c + g3p_c,META:2TRANSKETO-RXN,R01830,,,
